amigo,sexo,publicacion
am_1,f,¿Alguien quiere adoptar un gatito bebé?
am_1,f,"Cada vez que cocino, que lavo trastes o ropa... Así merengues"
am_1,f,Vi a la señora de las enchiladas después de mucho tiempo y sentí que el amor en mi volvió a nacer
am_1,f,Ya no aguanto una desveladita... Ando que me carga Morfeo
am_1,f,Jajajaja dos años Dx y ya casi nos abandonas 
am_1,f,"Y se va muriendo el corazón, las heridas cada vez son máá-áás"
am_1,f,Yo merengues.
am_1,f,Esto lo titulo: "un día en la vida de - O C I O." 
am_1,f,"Viento, amaaarranoooossss"
am_1,f,Soy tan impulsiva que creo que me le iba a la yugular al cabrón
am_1,f,Perdí alv desde el primer momento. ￼
am_1,f,Uuuuuuujulesssss re chula mijo
am_1,f,Ajajajajajajajajajajajaja ￼
am_1,f,"Está bien chido leer los comentarios, muchas ideas son las mismas que he tenido ya."
am_1,f,Qué bueno que no la escuché el semestre pasado alv
am_1,f,Yo merengues.
am_1,f,"Y es que no te has dado cuenta que cuando no estás no late más mi corazón, eres mi luz y mi aiire-e, eres lo que detiene mi respiracióóóónnn ♫"
am_1,f,ESTO. ￼
am_1,f,Mein kleines Lebenslicht - eine Flamme im Wind ￼
am_1,f,"Tal cual, para que se abstengan de decirme que me veo gorda y que las vacaciones me pusieron choncha porque ya lo sé. Gracias, adiós. ￼💅￼💅￼"
am_1,f,Necesito dinero y estoy pensando en vender mi Deathwing y mi Arthas. ¿Será prudente? ￼🤔￼🤔￼
am_1,f,"Dance around like I'm insane, I feel free when I see no one and nobody knows my name. ￼"
am_1,f,Khe berwenzah
am_1,f,"Y para llorar, no es el tiempo ahora ￼"
am_1,f,Nada me puede arruinar el día si estoy escuchando "embrace of the endless ocean"
am_1,f,Quiero cantar así T^T
am_1,f,Ajaja ￼:v el del Uber me vio blusa satánica y puso a Metallica ￼😂￼😂￼😂￼😂￼😂 ay muchacho éste.
am_1,f,La neta estoy bien frentona alv
am_1,f,"Si un día vuelvo a tener novio, buscaré uno que no me la haga de pedo porque no le contesto al estar ocupada :'v"
am_1,f,Qué perturbador xD
am_2,f,"Me pregunto si en este momento, en alguna parte del mundo, un posole tambien esta pensando en mi"
am_2,f,Inserte frase cursi aquí…
