nombre, sexo, publicacion
male_1, h, La labia es mi pasion
male_1, h, Mamá voy a salir, tengo que hacer un trabajo en grupo
male_1, h, Grábame saliendo del agua así en plan sexy...
male_1, h, Cuando me cuentan que ganan 14,000 pesos vendiendo packs
male_1, h, Ya sabemos que se siente estar guardado de febrero a diciembre
male_1, h, No podemos estar haciendo el delicioso a diario
male_1, h, Ya no puedo entrar a WhatsApp
male_1, h, Yo cuando me case con mi amorcito
male_1, h, Marianita ItzEl yo no tengo ligues
male_1, h, Hace mucho que no ligo, todavía se dice tú y yo a 3MSC?
male_1, h, Yo subiendo una foto después de darle un ligero retoque:
male_1, h, Alguien para tener un hijo y luego separarnos? Es pa' tener pegue
male_1, h, Te criaste tomando café de olla y ahora resulta que solo te gusta el café de mi piel
male_1, h, No te preocupes, es super intuitivo, el usuario sabrá que hacer
male_1, h, Soy de ese 99.9% que nunca vio a esta pareja en el fondo de Rebelde
male_1, h, Mañana no se conecten a la clase online
male_1, h, Así le haré cuando tenga crush
male_1, h, Cuando vas por la calle y ves a tu ex, con el tiempo y el tiempito
male_1, h, Yo no caí en el enculamiento, me aventé
male_1, h, Guía para entender lo que pasaba en Disney Chanel allá por el 2009:
male_1, h, Quizás tú media naranja ya la exprimió medio pueblo, pero hay mangos y guayabas
male_1, h, Yo en la madrugada bien grifo:
male_1, h, A ti que te detuviste a leer esto, ojalá quedes embarazada <3
male_1, h, Madurara es darse cuenta que 10,000 pesos no es tanto dinero
male_1, h, Así me imagino el primer episodio de Irapuato Shore JAJAJAJ
male_1, h, Ya mejor ponle carretilla y mándala a vender mamón
male_1, h, Este candado no lo abre nadie... un hechizo simple pero inquebrantable
male_1, h, Yo ahogandome en mis deudas pero con mis tenis nuevos
male_1, h, ¿Qué está pasando con la biotecnología en México?
male_1, h, O me levanto temprano o me levanto amable, no puedo con todo
male_2, h, Ya traigo rodillera es neta ya me compré como 5 pomadas diferentes
male_2, h, Su señoría, si fuera culpable; ¿Podría hacer esto?
male_2, h, Dizque a esta hora son las mejores conversaciones y yo aqui con ganas de desayunar
male_2, h, A veces es mejor perderlo todo y recuperar la paz
male_2, h, Cuando me tiran la onda 5 batos al mismo tiempo
male_2, h, Buenas con el qendejo xD
male_2, h, Busco gente seria para hacer fiesta de disfraces con temática de Shrek
male_2, h, Mi carro trae un ruido ya lo lleve al mecánico y no se arregla xD
male_2, h, Cuando eres borracho pero buen muchacho xD
male_2, h, El Isaac Solorio con su tobillo
male_2, h, Bebidas listas para el fin de semana
male_2, h, Yo probando la pareja de alguien más
male_2, h, Me cene unos chetos pero los vomité, seguiremos informando Joaquín
male_2, h, Baje 4 kilos maifreennss, pero los voy a rebotar este fin por qué es pumple de mi primito
male_2, h, Quisiera ser de esa raza que no hace nada en su vida y esta trabajando en pemex... a caray
male_2, h, Ahora si ando modo Fit
male_2, h, Aprueba Senado prohibir golpes y humillaciones hacia niñez y adolescencia como método disciplinario
male_2, h, Cuando regresas del baño y tu compa ya esta bailando con tu ruka.
male_2, h, Y YouTube premium y hbo aunque no los use
male_2, h, El concierto que quiero // El que pasa en México
male_2, h, Las celebraciones de los de mi barrio
male_2, h, Mi compa y yo ya bien pedos sacando los pasos prohibidos 
male_2, h, La historia de mi vida
male_2, h, Mi cárnal y yo : si estuvieramos pedos podríamos hacer esto?....
male_2, h, Yo sabía que esa infeccion no era normal te odio kfc
male_2, h, Yo después de 10 partidas cuando me toca ser el impostor 
male_2, h, El cumpleaños de kirris acercandose
male_2, h, $499 por subscripción premium anual
male_2, h, Es mas, si andamos y me engañas yo te pido perdon
male_2, h, Quien mide menos de 1.60 pa eliminarlo pq aqui no es kinder
female_1, m, Pedrito Sola es mi animal espiritual la vdd
female_1, m, “Not all men” explicado con Among Us. 
female_1, m, Cuando te pones a picar cebolla y aprovechas para llorar porque no tienes un telescopio
female_1, m, Subete perra, vamos a comprar adornos de halloween
female_1, m, La Daniela y yo con las cobijas que se llevaba de su home
female_1, m, Los vatos bien enojados porque rayaron la pared donde se mean
female_1, m, Doby no tiene amo, Dobby es un elfo libre
female_1, m, Hoy tuve la oportunidad de escuchar a esta admirable mujer hablando de la diferencia entre VANDALISMO, PROTESTA y VIOLENCIA. 
female_1, m, Other people's sexuality and gender is none of your fucking business
female_1, m, Guía para entender lo que pasaba en Disney Chanel allá por el 2009:
female_1, m, Nha mmn, estoy dudando que el siguiente semestre sea presencial, ya mero vamos a regresar en noviembre 
female_1, m, Como no c me ocurrió anteeeees
female_1, m, Los 23 son los nuevos 18
female_1, m, Amix de Salamanca hagan sus pedidos, ocupo pagar la renta
female_1, m, No brother, no necesitan que las cuides, necesitan que las respetes. Y si no entiendes eso, no estás entendiendo nada.
female_1, m, Mi amix y yo practicando perreo navideño:
female_1, m, Patito dormido con sombrero de flor
female_1, m, A lo mejor si soy feliz, pero soy asintomático
female_1, m, A veces me pregunto que estara haciendo la chingada cuando no me esta llevando
female_1, m, Que me costaba pedir un terreno para mis 15
female_1, m, José Pastor vamos a almorzar al mercado... De Vallarta
female_1, m, Yo trabajando como ingeniera en comunicaciones, sisisi
female_1, m, Weeeei, que pdo con el príncipe de Blancanieves, y como que Eugene tiene 26
female_1, m, Basta ya de mi Jenny Rivera, osiosi
female_1, m, Lo bueno que ya falta menos pa' los 27
female_1, m, Yo cuándo el sensei me pidió que leyera un ejemplo en hiragana 
female_1, m, Si las feministas somos "malcogidas", ¿por qué los hombres no aprenden a coger? 
female_1, m, Estoy pensando en aplicarla seriamente porque ya nomas traigo dos varos para sobrevivir mañana :'v
female_1, m, Pinche año esta mas culero que yo a los 13 años en la secundaria.
female_1, m, La botana perfecta si existe, es la garbanza. 
female_2, m, Cuando ya te pusiste la chida y aun asi tienes frio
female_2, m, Acabamos de encontrar 7 cachorros en la orilla de la carretera... ya están desparasitados y en resguardo...
female_2, m, Tú sabías que los perros callejeros se levantan muy temprano por la mañana... 
female_2, m, Rolen esto, que le de la vuelta al mundo.
female_2, m, Tengo amigos que me van a dejar a mi casa. Tengo amigos que si no pueden dejarme, me piden que les comparta "ubicación actual" desde que me subo al Uber.
female_2, m, Ojalá te hubieras escapado con el novio, como todos decían.
female_2, m, Morelia está de luto por las mujeres asesinadas, hoy fue Jessica González #NiUnaMenos #JusticiaParaJessica
female_2, m, Papel de baño hecho de celulosa recuperada de envases de Tetrapak grado alimenticio. No tiene químicos ni blanqueadores.
female_2, m, Donde no tienes que disimular que comes 8 pedazos de pizza, ahí es
female_2, m, Conmemorando el "Día Mundial del Perro Adoptado" 
female_2, m, A veces siento que le solté la mano a mi mamá y me érdí en este enorme Walmart llamado vida
female_2, m, Dónde se la pongo suegra?
female_2, m, Me encontré una cachorrita en la calle Panuco, tiene aproximadamente 4 meses de edad
female_2, m, Activan alerta Amber por una jovencita de 16 años de Salamanca
female_2, m, Por favor, si alguien las ve, sean amables de decirme, son mis hijas, salieron desde en la mañana y no se nada de ellas
female_2, m, Mi mamá: No te pongas al tiro con los hombres porque son mas fuertes que tú, Yo bien emputada: Dejate venir perro
female_2, m, Que independencia festejas, si yo te voy a quitar la libertad proximamente
female_2, m, Siempre hay que estar orgullosos de nuestro trabajo y hacerlo con toda la pasión
female_2, m, Tú te pensaste que tú me tenías pero nunca me tuviste SOY LA ROSALIAAAA
female_2, m, En un país donde la justicia no existe, sólo se busca un poco de paz a la familia.
female_2, m, Bida pides mucho y yo solo se tomar caguama y besar padrisimo :(
female_2, m, Lo que está pasando en Boquilla, Chihuahua, México, es una verdadera locura, los agricultores se están enfrentando a la guardia nacional por el agua.
female_2, m, El wey que no le gusta el aguacate pero si el guacamole, Soy
female_2, m, Tus sudaderas van a acabar en mi closet one day nomas te aviso men
female_2, m, Perdón amigas me voy a encular, vida solo hay una
female_2, m, Ponte mas buenota por ti y para ti
female_2, m, ¿Me amarías sabiendo que le voy al Poderoso Cruz azul?
female_2, m, ¿Estaré embarazada o porque traigo antojo de 57 mil pesos?
female_2, m, Adopta a un perrito aunque este viejito
female_2, m, A mi me descuidas 3 segundos en tu casa y me encuentras platicando con tu mamá o cargando a los perros.
